Index,Date
0,19990703
1,19990820
2,20000212
3,20000228
4,20000315
5,20000619
6,20001110
7,20001126
8,20001228
9,20010214
10,20010318
11,20010910
12,20011231
13,20021116
14,20021218
15,20030204
16,20030527
17,20031221
18,20040817
19,20041121
20,20050108
21,20050430
22,20060706
23,20061111
24,20070215
25,20070826
26,20071029
27,20080218
28,20080305
29,20080524
30,20080929
31,20090119
32,20090714
33,20090831
34,20090916
35,20091119
36,20091205
37,20091221
38,20100122
39,20100207
40,20100327
41,20100701
42,20101021
43,20101122
44,20101208
45,20101224
46,20110226
47,20110314
48,20110330
49,20120128
50,20120519
51,20121010
52,20121111
53,20121229
54,20130404
55,20130420
56,20150629
57,20150715
58,20151104
59,20160107
60,20160208
61,20160327
62,20170415
63,20170906
64,20170922
65,20171227
66,20180112
67,20180317
68,20180621
69,20181128
70,20190507
71,20190608
72,20190710
73,20200203
74,20200407
75,20200626
76,20200829
77,20200914
78,20200930
79,20201101
80,20210104
81,20210528
82,20210901
83,20211019
84,20211120
85,20220107
86,20220524
87,20220812
88,20221214
89,20230916
90,20220610
91,20220817
92,20131106
93,20131122
94,20131208
95,20140109
96,20140210
97,20140602
98,20140805
99,20140922
100,20141008
101,20150112
102,20161114
103,20170218
104,20170306
105,20170930
106,20171117
107,20181222
108,20190107
109,20190123
110,20190224
111,20190328
112,20190819
113,20191006
114,20191022
115,20191209
116,20201008
117,20201024
118,20201211
119,20201227
120,20210112
121,20220115
122,20220216
123,20220827
124,20220912
125,20220928
126,20221217
127,20230118
128,20220107
129,20220819
130,20220904
131,20221022
132,20230315
133,20230907
134,20231025
